日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-10-23,300666,91.7,92.21,92.57,90.09,90753,826390769.0,2.68,-0.26,-0.24,4.1
2025-10-24,300666,93.77,96.04,97.0,92.9,192524,1839378587.0,4.45,4.15,3.83,8.71
2025-10-27,300666,97.61,100.65,101.51,95.69,230249,2262970705.0,6.06,4.8,4.61,10.41
2025-10-28,300666,99.65,97.4,99.65,96.9,158280,1554825416.0,2.73,-3.23,-3.25,7.16
2025-10-29,300666,97.24,98.18,98.97,95.75,144685,1407761417.0,3.31,0.8,0.78,6.54
2025-10-30,300666,98.08,95.8,98.98,95.72,123538,1196469353.0,3.32,-2.42,-2.38,5.59
2025-10-31,300666,95.28,94.0,96.58,93.35,99382,940761827.0,3.37,-1.88,-1.8,4.49
2025-11-03,300666,92.65,91.72,92.88,89.2,123447,1122612491.0,3.91,-2.43,-2.28,5.58
2025-11-04,300666,91.39,90.55,92.4,90.09,73909,674807164.0,2.52,-1.28,-1.17,3.34
2025-11-05,300666,88.91,90.01,90.5,88.27,77721,695651469.0,2.46,-0.6,-0.54,3.51
2025-11-06,300666,90.9,92.41,92.73,90.69,104766,962035274.0,2.27,2.67,2.4,4.74
2025-11-07,300666,91.01,90.4,91.95,90.25,76416,694911143.0,1.84,-2.18,-2.01,3.46
2025-11-10,300666,90.9,91.39,93.18,90.6,96721,886602946.0,2.85,1.1,0.99,4.37
2025-11-11,300666,92.96,90.93,93.99,90.68,108166,999070947.0,3.62,-0.5,-0.46,4.89
2025-11-12,300666,91.2,90.94,92.53,87.77,89195,806591709.0,5.23,0.01,0.01,4.03
2025-11-13,300666,90.76,91.55,92.33,89.9,93383,854187911.0,2.67,0.67,0.61,4.22
2025-11-14,300666,90.0,87.51,90.76,87.51,103198,916855554.0,3.55,-4.41,-4.04,4.67
2025-11-17,300666,88.02,86.88,89.59,86.31,70743,618371596.0,3.75,-0.72,-0.63,3.2
2025-11-18,300666,86.52,87.72,89.2,86.08,76058,667819694.0,3.59,0.97,0.84,3.44
2025-11-19,300666,87.05,87.31,89.18,86.58,64032,562407174.0,2.96,-0.47,-0.41,2.9
2025-11-20,300666,88.53,85.8,88.88,85.8,58959,512667510.0,3.53,-1.73,-1.51,2.67
2025-11-21,300666,84.05,81.56,85.7,81.46,98867,823335732.0,4.94,-4.94,-4.24,4.47
2025-11-24,300666,82.25,83.3,83.65,81.72,58589,484577621.0,2.37,2.13,1.74,2.65
2025-11-25,300666,83.69,84.36,86.0,83.38,75011,636216042.0,3.15,1.27,1.06,3.39
2025-11-26,300666,83.96,84.46,85.25,83.33,53696,453946922.0,2.28,0.12,0.1,2.43
2025-11-27,300666,84.54,83.86,86.57,83.66,67597,575255274.0,3.45,-0.71,-0.6,3.06
2025-11-28,300666,83.59,85.29,85.99,83.39,69150,587952483.0,3.1,1.71,1.43,3.13
2025-12-01,300666,85.96,88.26,88.7,85.36,94053,820213033.0,3.92,3.48,2.97,4.25
2025-12-02,300666,87.5,86.32,87.93,86.15,59599,517501170.0,2.02,-2.2,-1.94,2.69
2025-12-03,300666,86.58,86.3,87.54,85.75,50335,435264412.0,2.07,-0.02,-0.02,2.28
2025-12-04,300666,85.4,87.28,87.95,85.2,59292,513646260.0,3.19,1.14,0.98,2.68
2025-12-05,300666,87.29,87.32,87.88,85.33,59740,517678690.0,2.92,0.05,0.04,2.7
2025-12-08,300666,87.32,88.78,89.4,87.01,79162,700982886.0,2.74,1.67,1.46,3.58
2025-12-09,300666,88.0,87.7,89.08,87.33,65469,577168593.0,1.97,-1.22,-1.08,2.96
2025-12-10,300666,87.1,88.73,89.23,86.59,62389,549013289.0,3.01,1.17,1.03,2.82
2025-12-11,300666,88.5,87.23,89.26,87.2,53812,474553496.0,2.32,-1.69,-1.5,2.43
2025-12-12,300666,87.1,89.05,89.83,86.58,86357,762398290.0,3.73,2.09,1.82,3.9
2025-12-15,300666,88.01,90.26,91.29,88.01,113963,1028482326.0,3.68,1.36,1.21,5.15
2025-12-16,300666,90.01,90.01,91.48,88.0,97221,873454699.0,3.86,-0.28,-0.25,4.4
2025-12-17,300666,89.0,91.87,92.15,87.51,119947,1084129642.0,5.15,2.07,1.86,5.42
2025-12-18,300666,91.04,91.4,93.8,91.01,112790,1044656343.0,3.04,-0.51,-0.47,5.1
2025-12-19,300666,91.99,89.83,92.3,89.6,78573,712472381.0,2.95,-1.72,-1.57,3.55
2025-12-22,300666,89.01,92.71,93.7,89.01,100101,920921126.0,5.22,3.21,2.88,4.53
2025-12-23,300666,92.25,95.65,95.66,92.01,142133,1338907568.0,3.94,3.17,2.94,6.43
2025-12-24,300666,95.7,96.76,97.78,94.8,127104,1223660999.0,3.12,1.16,1.11,5.75
2025-12-25,300666,96.76,96.25,99.9,95.33,128276,1245680680.0,4.72,-0.53,-0.51,5.8
2025-12-26,300666,96.5,94.66,96.8,94.0,96304,916261241.0,2.91,-1.65,-1.59,4.35
2025-12-29,300666,94.26,93.52,95.26,93.14,75599,710986034.0,2.24,-1.2,-1.14,3.42
2025-12-30,300666,93.35,93.01,94.8,92.9,71429,668317354.0,2.03,-0.55,-0.51,3.23
2025-12-31,300666,94.0,92.0,94.5,92.0,68121,632995316.0,2.69,-1.09,-1.01,3.08
2026-01-05,300666,92.92,100.3,103.0,92.88,176337,1703717178.0,11.0,9.02,8.3,7.97
2026-01-06,300666,98.89,107.05,111.0,98.81,309278,3291880850.0,12.15,6.73,6.75,13.98
2026-01-07,300666,109.2,110.8,111.77,106.16,244736,2673441756.0,5.24,3.5,3.75,11.07
2026-01-08,300666,110.0,112.28,117.5,109.28,190842,2157102264.0,7.42,1.34,1.48,8.63
2026-01-09,300666,110.28,113.51,114.26,109.61,153764,1723406394.0,4.14,1.1,1.23,6.95
2026-01-12,300666,112.4,115.23,116.6,110.21,151544,1733256699.0,5.63,1.52,1.72,6.85
2026-01-13,300666,114.06,115.08,118.66,113.62,140193,1618993836.0,4.37,-0.13,-0.15,6.34
2026-01-14,300666,115.44,120.33,122.0,114.35,206315,2460223179.0,6.65,4.56,5.25,9.33
2026-01-15,300666,119.13,128.62,128.67,118.33,193763,2437815595.0,8.59,6.89,8.29,8.76
2026-01-16,300666,127.34,129.11,131.36,124.97,201172,2572067155.0,4.97,0.38,0.49,9.1
2026-01-19,300666,130.89,126.81,131.99,126.26,138585,1779217769.0,4.44,-1.78,-2.3,6.27
2026-01-20,300666,126.37,127.65,129.5,124.28,130954,1663363952.0,4.12,0.66,0.84,5.92
2026-01-21,300666,126.0,123.79,129.4,122.7,171311,2135520120.0,5.25,-3.02,-3.86,7.75
2026-01-22,300666,125.9,123.68,126.97,122.08,105242,1301884743.0,3.95,-0.09,-0.11,4.76
2026-01-23,300666,123.59,122.03,123.59,117.0,157162,1885990633.0,5.33,-1.33,-1.65,7.11
2026-01-26,300666,121.5,118.0,121.5,117.1,100532,1192018846.0,3.61,-3.3,-4.03,4.55
2026-01-27,300666,118.16,119.4,120.33,116.4,118097,1400190301.0,3.33,1.19,1.4,5.34
2026-01-28,300666,119.88,118.55,120.92,117.01,99299,1175559991.0,3.27,-0.71,-0.85,4.49
2026-01-29,300666,118.98,113.48,119.7,113.47,117473,1359209043.0,5.26,-4.28,-5.07,5.31
2026-02-06,300666,113.58,123.61,129.61,110.33,425954,5149266256.0,16.99,8.93,10.13,19.26
2026-02-09,300666,125.0,129.38,136.83,125.0,315325,4147783973.0,9.57,4.67,5.77,14.26
2026-02-10,300666,128.09,132.2,133.32,124.86,221098,2843828858.0,6.54,2.18,2.82,10.0
2026-02-11,300666,129.8,130.69,133.35,126.0,147246,1924029751.0,5.56,-1.14,-1.51,6.66
2026-02-12,300666,132.64,144.3,146.24,131.52,242849,3397237907.0,11.26,10.41,13.61,10.98
2026-02-13,300666,141.2,145.05,147.88,140.2,169254,2448509956.91,5.32,0.52,0.75,7.65
