日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-22,300666,81.3,82.03,83.15,80.51,179128,1463149654.0,3.28,2.01,1.62,8.1
2025-08-25,300666,82.8,80.73,83.8,79.04,207965,1685694722.0,5.8,-1.58,-1.3,9.4
2025-08-26,300666,79.77,79.1,80.35,78.62,151807,1205932616.0,2.14,-2.02,-1.63,6.86
2025-08-27,300666,79.21,79.95,84.2,78.77,218325,1774286593.0,6.86,1.07,0.85,9.87
2025-08-28,300666,79.9,82.32,82.33,79.57,179736,1461182416.0,3.45,2.96,2.37,8.13
2025-08-29,300666,82.92,80.99,83.1,79.82,142522,1153285054.0,3.98,-1.62,-1.33,6.44
2025-09-01,300666,81.84,81.27,82.76,79.88,131435,1065982520.0,3.56,0.35,0.28,5.94
2025-09-02,300666,81.01,77.55,81.96,77.0,159969,1257987421.0,6.1,-4.58,-3.72,7.23
2025-09-03,300666,78.08,77.41,80.28,77.08,120337,945393937.0,4.13,-0.18,-0.14,5.44
2025-09-04,300666,77.3,73.69,77.96,72.51,147554,1106697113.0,7.04,-4.81,-3.72,6.67
2025-09-05,300666,73.92,75.53,75.75,73.65,84856,633897201.0,2.85,2.5,1.84,3.84
2025-09-08,300666,75.7,75.53,76.09,74.47,80181,603817742.0,2.14,0.0,0.0,3.63
2025-09-09,300666,75.16,73.79,75.47,73.39,64660,480897300.0,2.75,-2.3,-1.74,2.92
2025-09-10,300666,73.84,73.7,75.21,73.57,61382,455533374.0,2.22,-0.12,-0.09,2.78
2025-09-11,300666,73.7,75.99,76.1,72.9,106690,801906292.0,4.34,3.11,2.29,4.82
2025-09-12,300666,76.05,79.06,81.62,75.63,192965,1532910293.0,7.88,4.04,3.07,8.73
2025-09-15,300666,80.15,77.71,80.68,77.6,110543,865734993.0,3.9,-1.71,-1.35,5.0
2025-09-16,300666,77.74,77.7,78.2,76.67,88067,681732550.0,1.97,-0.01,-0.01,3.98
2025-09-17,300666,77.7,80.38,80.88,77.21,151890,1206937487.0,4.72,3.45,2.68,6.87
2025-09-18,300666,80.39,80.16,83.18,79.01,192415,1564174346.0,5.19,-0.27,-0.22,8.7
2025-09-19,300666,80.2,79.37,82.25,79.11,129495,1044189889.0,3.92,-0.99,-0.79,5.86
2025-09-22,300666,80.93,81.18,81.88,80.03,140932,1139730195.0,2.33,2.28,1.81,6.37
2025-09-23,300666,82.2,82.35,82.4,78.7,153317,1235561005.0,4.56,1.44,1.17,6.93
2025-09-24,300666,83.27,98.82,98.82,82.78,403963,3759598738.0,19.48,20.0,16.47,18.27
2025-09-25,300666,100.0,100.1,103.23,96.22,458878,4557816211.0,7.09,1.3,1.28,20.75
2025-09-26,300666,99.75,105.04,107.77,97.91,399580,4122757629.0,9.85,4.94,4.94,18.07
2025-09-29,300666,104.5,107.1,110.29,101.68,354290,3724328339.0,8.2,1.96,2.06,16.02
2025-09-30,300666,107.46,101.9,107.46,100.5,325223,3377051843.0,6.5,-4.86,-5.2,14.71
2025-10-09,300666,105.52,101.83,107.4,100.8,306022,3188293056.0,6.48,-0.07,-0.07,13.84
2025-10-10,300666,99.03,99.98,101.38,96.26,243424,2388452070.0,5.03,-1.82,-1.85,11.01
2025-10-13,300666,99.03,114.52,114.52,99.0,452468,4911016691.0,15.52,14.54,14.54,20.46
2025-10-14,300666,112.89,105.9,112.89,103.7,364999,3926785366.0,8.02,-7.53,-8.62,16.5
2025-10-15,300666,103.2,101.28,103.7,98.99,214553,2162603201.0,4.45,-4.36,-4.62,9.7
2025-10-16,300666,100.0,101.38,105.0,98.53,178818,1821874890.0,6.39,0.1,0.1,8.09
2025-10-17,300666,99.59,94.54,99.7,93.85,196247,1888599400.0,5.77,-6.75,-6.84,8.87
2025-10-20,300666,96.58,92.41,96.7,91.62,155182,1456924603.0,5.37,-2.25,-2.13,7.02
2025-10-21,300666,93.26,93.28,94.42,92.2,138238,1291609597.0,2.4,0.94,0.87,6.25
2025-10-22,300666,92.0,92.45,93.6,91.51,96135,889394689.0,2.24,-0.89,-0.83,4.35
