日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-01-02,300666,67.26,65.35,68.25,64.82,76538,510838408.0,4.94,-5.9,-4.1,3.47
2025-01-03,300666,65.82,63.77,66.43,63.6,60533,394058869.0,4.33,-2.42,-1.58,2.75
2025-01-06,300666,63.76,63.9,65.12,63.3,41111,263932193.0,2.85,0.2,0.13,1.86
2025-01-07,300666,63.95,66.51,66.8,63.95,57369,377285643.0,4.46,4.08,2.61,2.6
2025-01-08,300666,66.0,65.94,67.16,64.01,60313,396766819.0,4.74,-0.86,-0.57,2.74
2025-01-09,300666,65.91,66.22,67.55,65.6,42331,282762796.0,2.96,0.42,0.28,1.92
2025-01-10,300666,66.7,66.69,69.3,66.02,73629,498933652.0,4.95,0.71,0.47,3.34
2025-01-13,300666,66.13,67.05,68.1,65.81,41405,276919070.0,3.43,0.54,0.36,1.88
2025-01-14,300666,67.43,69.45,69.7,66.51,67927,467078958.0,4.76,3.58,2.4,3.08
2025-01-15,300666,68.99,69.13,69.43,68.24,35767,246294651.0,1.71,-0.46,-0.32,1.62
2025-01-16,300666,69.5,68.13,70.3,67.67,49154,338441692.0,3.8,-1.45,-1.0,2.23
2025-01-17,300666,67.79,69.64,69.97,67.46,60673,418294628.0,3.68,2.22,1.51,2.75
2025-01-20,300666,70.88,70.02,71.1,69.25,46741,328508271.0,2.66,0.55,0.38,2.12
2025-01-21,300666,70.6,72.3,72.5,70.34,61806,443318839.0,3.08,3.26,2.28,2.8
2025-01-22,300666,71.87,71.92,72.87,71.41,47736,344113084.0,2.02,-0.53,-0.38,2.16
2025-01-23,300666,72.41,70.66,73.6,70.66,53492,385936345.0,4.09,-1.75,-1.26,2.43
2025-01-24,300666,70.4,70.99,71.4,70.03,40176,284543366.0,1.94,0.47,0.33,1.82
2025-01-27,300666,71.01,70.29,71.46,70.0,39833,281579180.0,2.06,-0.99,-0.7,1.81
2025-02-05,300666,71.48,70.53,71.89,70.44,42507,301667978.0,2.06,0.34,0.24,1.93
2025-02-06,300666,70.25,72.28,73.0,69.8,59250,426099823.0,4.54,2.48,1.75,2.69
2025-02-07,300666,72.21,72.12,73.83,71.33,80322,583154523.0,3.46,-0.22,-0.16,3.64
2025-02-10,300666,72.12,71.26,72.29,70.3,71127,505871606.0,2.76,-1.19,-0.86,3.23
2025-02-11,300666,71.27,69.44,71.28,69.32,60604,422023424.0,2.75,-2.55,-1.82,2.75
2025-02-12,300666,69.45,71.71,71.71,69.45,67732,478406990.0,3.25,3.27,2.27,3.07
2025-02-13,300666,71.51,69.0,71.58,68.88,71303,497601493.0,3.77,-3.78,-2.71,3.23
2025-02-14,300666,68.69,68.16,69.0,67.8,55505,378567410.0,1.74,-1.22,-0.84,2.52
2025-02-17,300666,68.45,68.57,69.16,67.15,69802,475490198.0,2.95,0.6,0.41,3.17
2025-02-18,300666,68.5,69.57,72.28,68.1,133635,940067647.0,6.1,1.46,1.0,6.06
